benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash,stride2_size,img_size,stride
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,16297737,19001965,528549,399102,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10531382,16934802,15025469,942338,839098,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12423022,8641553,731146,706439,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,0,dtu,7795036,9562220,264752,198224,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9557876,12686996,7678541,729615,699206,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10521617,4440538,633815,633975,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x16,0,dtu,3724786,4825813,132469,97776,184549376,2,512x64x64x8,16
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5440423,7060151,4000206,369295,329240,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,6011056,2343305,319452,294832,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x32,0,dtu,1868373,2459725,66247,46362,83886080,2,512x64x64x8,32
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2810523,3491641,2158406,183936,161792,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3054941,1287937,159483,146324,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x64,0,dtu,993084,1286869,34780,21290,33554432,2,512x64x64x8,64
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12820418,25934645,29724278,1373103,1132715,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28238690,26026833,1343666,888299,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x4,0,dtu,25721975,27979674,884686,412302,788529152,2,512x64x64x8,4
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10568030,17469440,15032256,927009,838774,385875968,2,512x64x64x8,8
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12266616,8648345,741893,704423,385875968,2,512x64x64x8,8
