benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
img_augmentation_128_16,dtu,0,71276559,34058434,1196328,704737,0
img_augmentation_128_32,cpu,5547413172,5785824400,3342643140,16251914,3068392,0
img_augmentation_128_32,dtu,0,136657795,67194391,2279370,1394364,0
img_augmentation_128_64,cpu,11461666990,11935380746,6759238876,35683884,6238922,0
img_augmentation_128_64,dtu,0,477387763,227407528,8659832,2906756,0
img_augmentation_256_4,cpu,2795470087,2899010261,1662080566,7416763,1867251,0
img_augmentation_256_4,dtu,0,71286843,34057870,1231762,698684,0
img_augmentation_256_8,cpu,5615863398,5847196992,3335259655,16592467,3745031,0
img_augmentation_256_8,dtu,0,136696886,67210192,2279110,1394917,0
img_augmentation_256_16,cpu,11612982382,12088980611,6758342608,36090586,7701797,0
img_augmentation_256_16,dtu,0,476642275,227402492,8592356,2905265,0
img_augmentation_256_32,cpu,23319800482,24270533571,13543612955,73416260,15457468,0
img_augmentation_256_32,dtu,0,954275878,454430069,17497001,5809848,0
img_augmentation_256_64,cpu,47008348421,49087233142,27091979835,154385830,31256570,0
img_augmentation_256_64,dtu,0,1999338627,907312784,42869870,11619186,0
img_augmentation_128_4,cpu,703382543,719972603,411574725,1641967,347897,0
img_augmentation_128_4,dtu,0,18661875,9190366,310815,175653,0
img_augmentation_128_8,cpu,1380345777,1413523144,823024004,3231191,741300,0
img_augmentation_128_8,dtu,0,35220616,17474598,572176,349743,0
img_augmentation_128_16,cpu,2778828831,2882453850,1662402837,7329206,1528246,0
img_augmentation_128_16,dtu,0,71253513,34040259,1230923,698747,0
img_augmentation_128_32,cpu,5555078075,5793508759,3342634973,15613788,3060279,0
img_augmentation_128_32,dtu,0,135802882,67199327,2209282,1400809,0
img_augmentation_128_64,cpu,11458413182,11931568729,6759604679,35491153,6239758,0
img_augmentation_128_64,dtu,0,476526448,227414003,8574908,2923007,0
img_augmentation_256_4,cpu,2787379418,2891030307,1662054866,7398083,1869443,0
img_augmentation_256_4,dtu,0,71330541,34068055,1232490,699253,0
img_augmentation_256_8,cpu,5623817940,5862684233,3342004925,15855572,3754688,0
img_augmentation_256_8,dtu,0,135773082,67202851,2209101,1400863,0
img_augmentation_256_16,cpu,11617864109,12093801832,6758311110,35566400,7700047,0
img_augmentation_256_16,dtu,0,477998082,227392048,8681142,2921680,0
img_augmentation_256_32,cpu,23338185296,24290169205,13543606296,73415711,15459435,0
img_augmentation_256_32,dtu,0,954612785,454411888,17488733,5837407,0
img_augmentation_256_64,cpu,47009115464,49083858908,27091961838,153561316,31254548,0
img_augmentation_256_64,dtu,0,1990604812,907355722,42518824,11618458,0
img_augmentation_128_4,cpu,702934262,719533347,411559160,1621481,347085,0
img_augmentation_128_4,dtu,0,18716883,9202919,311807,175714,0
img_augmentation_128_8,cpu,1398790802,1432033160,823070291,3271464,742126,0
img_augmentation_128_8,dtu,0,35307494,17494955,572920,349789,0
img_augmentation_128_16,cpu,2792028705,2895572979,1662420356,7335709,1529187,0
img_augmentation_128_16,dtu,0,71318587,34054542,1232844,699578,0
img_augmentation_128_32,cpu,5607799238,5846172978,3342778216,15696633,3060597,0
img_augmentation_128_32,dtu,0,135621420,67193762,2208693,1393728,0
img_augmentation_128_64,cpu,11612029203,12086660049,6759865008,35584151,6239429,0
img_augmentation_128_64,dtu,0,477812943,227386249,8710529,2907708,0
img_augmentation_256_4,cpu,2847899323,2951579545,1662164740,7542708,1869775,0
img_augmentation_256_4,dtu,0,71288445,34059266,1232655,698749,0
img_augmentation_256_8,cpu,5681568772,5919050108,3342093414,15683058,3751582,0
img_augmentation_256_8,dtu,0,135628446,67182255,2209685,1393824,0
img_augmentation_256_16,cpu,11626092230,12102420343,6758340373,35780005,7703492,0
img_augmentation_256_16,dtu,0,476621895,227381799,8576377,2907257,0
img_augmentation_256_32,cpu,23338712890,24289380639,13543620079,73204817,15458066,0
img_augmentation_256_32,dtu,0,953876502,454420278,17460941,5811098,0
img_augmentation_256_64,cpu,47017073687,49099080955,27091999507,153957254,31264168,0
img_augmentation_256_64,dtu,0,2000700825,907374922,42950359,11620201,0
img_augmentation_128_4,cpu,705535235,722160645,411573099,1766050,346803,0
img_augmentation_128_4,dtu,0,18687689,9194493,311908,175367,0
img_augmentation_128_8,cpu,1376566196,1409753099,823024191,3295742,742095,0
img_augmentation_128_8,dtu,0,35222866,17476599,572260,349660,0
img_augmentation_128_16,cpu,2768792821,2872274287,1662384494,7337211,1529612,0
img_augmentation_128_16,dtu,0,71396089,34042145,1231786,699929,0
img_augmentation_128_32,cpu,5549823820,5788199668,3342649214,15843465,3062796,0
img_augmentation_128_32,dtu,0,135691939,67195622,2209482,1400211,0
img_augmentation_128_64,cpu,11455369360,11929862076,6759603711,35485353,6241669,0
img_augmentation_128_64,dtu,0,477835523,227382580,8711175,2922496,0
img_augmentation_256_4,cpu,2796227849,2907533318,1665444512,7585489,1868991,0
img_augmentation_256_4,dtu,0,71391860,34072306,1233179,700071,0
img_augmentation_256_8,cpu,5597904381,5835447346,3338568602,15443727,3750242,0
img_augmentation_256_8,dtu,0,135761888,67192082,2209724,1400976,0
img_augmentation_256_16,cpu,11609637064,12085400830,6758308217,35557587,7701935,0
img_augmentation_256_16,dtu,0,477336090,227384948,8619049,2925066,0
img_augmentation_256_32,cpu,23332671836,24283582596,13543590390,73202959,15459628,0
img_augmentation_256_32,dtu,0,955022111,454408745,17511176,5834642,0
img_augmentation_256_64,cpu,46997844972,49078293903,27091963404,153822683,31273721,0
img_augmentation_256_64,dtu,0,2000828577,907335155,42764303,11643842,0
img_augmentation_128_4,cpu,703976575,720561137,411564413,1629919,353945,0
img_augmentation_128_4,dtu,0,18724765,9203410,311829,175744,0
img_augmentation_128_8,cpu,1370232352,1403468596,823025465,3228860,750785,0
img_augmentation_128_8,dtu,0,35247331,17485770,573156,349648,0
img_augmentation_128_16,cpu,2762746125,2873987255,1665750059,7565551,1526979,0
