tensor_slicing_512x64x64x8_1x1x1x4,cpu,24165445,48276933,59436546,2143273,537579,2155574,531756,6443907,16,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54889008,52012300,1628953,292170,2151850,587971,3966297,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,0,dtu,51276879,55798862,822684,283454,1185358,488240,2828156,4194544,,1577058304
tensor_slicing_512x64x64x8_1x1x1x8,cpu,20667307,32676635,30042377,1588222,272413,1605103,267551,3767537,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,inplace,0,23067866,17279924,1318835,145859,1326367,133746,2485691,0,,771751936
tensor_slicing_512x64x64x8_1x1x1x8,0,dtu,14963780,19100280,398888,141878,396840,131834,1402830,2097200,,771751936
tensor_slicing_512x64x64x8_1x1x1x16,cpu,18538179,24791122,15348729,1320608,140931,1320804,133323,2448084,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,inplace,0,19959411,8884524,1184713,77792,1191777,68078,1807033,0,,369098752
tensor_slicing_512x64x64x8_1x1x1x16,0,dtu,8020948,9649512,200522,74503,198421,66004,731007,1048624,,369098752
tensor_slicing_512x64x64x8_1x1x1x32,cpu,10782720,13608732,7989954,658465,76213,661487,66895,1268188,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,inplace,0,11752326,4676636,592261,38791,596371,34213,902581,0,,167772160
tensor_slicing_512x64x64x8_1x1x1x32,0,dtu,3833258,4932620,98780,44116,99367,33273,418928,524352,,167772160
tensor_slicing_512x64x64x8_1x1x1x64,cpu,5425657,6991988,4311513,329195,42986,334044,33945,673094,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,inplace,0,5925255,2572692,296847,18189,299433,17369,442344,0,,67108864
tensor_slicing_512x64x64x8_1x1x1x64,0,dtu,1933479,2558040,48077,21306,49440,16669,202138,262192,,67108864
tensor_slicing_512x64x64x8_1x1x1x4,cpu,24526815,47250181,59431126,2123420,537297,2120675,527503,6421789,0,,1577058304
tensor_slicing_512x64x64x8_1x1x1x4,inplace,0,54800220,52017157,1628748,292071,2142714,581702,3965317,0,,1577058304
