benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
img_augmentation_512_4,cpu,7852252372,8055803387,6762590161,6275356,2942665,22239062,5477636,9217971,50,0
img_augmentation_512_4,dtu,0,222342591,226874291,2867645,1421142,4219391,2147779,2912461,13173404,0
img_augmentation_512_16,cpu,29986262356,30810336791,27047265049,24986132,11701593,88411808,21595373,36687682,38,0
img_augmentation_512_16,dtu,0,916484712,914566011,11457456,5669510,18050858,9736117,11621594,52694033,0
img_augmentation_512_32,cpu,62376396946,64034435089,54098139888,50019881,23419433,178023114,43699541,73439268,45,0
img_augmentation_512_32,dtu,0,1835867206,1828786670,22918958,11331451,36106488,19491231,23239740,105387512,0


