benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_unfold_1_8x64x64x128,dtu,0,32319688,37803354,1056737,790746,-545259520
tensor_unfold_2_8x64x64x128,cpu,44813724,68059929,59691629,3841776,3378040,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,30396175,37803354,1056808,790756,-545259520
tensor_unfold_3_8x64x64x128,cpu,162989231,186199936,59891135,6075944,5275173,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,31733533,37803354,1056765,790702,-545259520
tensor_unfold_4_8x64x64x128,cpu,389147470,412315355,59907561,6891672,5286216,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,107438498,37934398,1063081,794948,-545259520
tensor_unfold_1_32x64x64x128,cpu,188684623,414856561,349569075,13804161,7544532,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,231532456,223672178,7810015,3361354,2113929216
tensor_unfold_2_32x64x64x128,cpu,270722041,497034348,382945895,21821075,14035239,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,225463986,223680358,7824094,3350603,2113929216
tensor_unfold_3_32x64x64x128,cpu,749340364,975944676,383800543,29611367,21631520,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,234332483,223707418,7788649,3361958,2113929216
tensor_unfold_4_32x64x64x128,cpu,1652460094,1879003594,383677728,34923935,21625678,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,521233491,224193829,7565588,3391942,2113929216
tensor_unfold_1_8x64x64x128,cpu,57445728,80693769,67308092,2701103,2667114,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,32307799,37803354,1056763,790707,-545259520
tensor_unfold_2_8x64x64x128,cpu,44828906,68049821,59701049,3842494,3378947,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,30394681,37803354,1056726,790802,-545259520
tensor_unfold_3_8x64x64x128,cpu,163018312,186237487,59889613,6077435,5275161,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,31734208,37812918,1056923,791506,-545259520
tensor_unfold_4_8x64x64x128,cpu,389067668,412292369,59876870,6892309,5284014,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,107511104,37934402,1063148,795123,-545259520
tensor_unfold_1_32x64x64x128,cpu,188596351,414788482,349547698,13782440,7539826,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,231015210,223675075,7785307,3359861,2113929216
tensor_unfold_2_32x64x64x128,cpu,270948332,497534304,382964176,21868432,14042435,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,226079814,223676047,7849322,3360381,2113929216
tensor_unfold_3_32x64x64x128,cpu,749120329,975249640,383774851,29586714,21629118,2113929216
