benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_5,cpu,592542502,905070854,1410743432,11639385,3863612,15125228,5905580,42548283,0,288966436.730617
im2col_720_1080_3_5,dtu,0,368224638,468601459,3772168,111757,3906985,161513,1041689,57992608,288966436.730617
im2col_512_512_3_2,cpu,13869032,31399815,63242326,615442,225507,647587,214390,2419490,0,15660739.682568
im2col_512_512_3_2,dtu,0,22098388,25553325,214260,20844,250950,17695,185108,3134336,15660739.682568
im2col_512_512_3_3,cpu,31429183,70677313,141491843,1388780,470041,1432975,459607,5149110,0,35097764.368288
im2col_512_512_3_3,dtu,0,49384291,57012725,488538,22528,546240,18884,201560,7475104,35097764.368288
im2col_512_512_3_4,cpu,127685908,196901907,303555757,2447298,837374,3359519,1288112,9146300,0,62151040.594557
im2col_512_512_3_4,dtu,0,91174304,100815139,807195,24372,999392,48427,222445,12475488,62151040.594557
im2col_512_512_3_5,cpu,198508461,305601257,473078520,3906073,1304354,5172189,1986109,14340905,16,96728317
im2col_512_512_3_5,dtu,0,127655748,156964961,1332778,41567,1297052,54250,381743,20537136,96728317.448405
