img_augmentation_128_4,cpu,393456736,398755602,411047168,345846,175637,1140267,206886,1750921,48,,0
img_augmentation_128_4,dtu,0,10269750,9181410,175537,86759,203145,99161,783578,1376656,,0
img_augmentation_128_8,cpu,792397132,803321831,822068597,748252,354559,2284778,412299,3584704,16,,0
img_augmentation_128_8,dtu,0,19471901,17491730,355239,175603,377360,185530,1587983,2752960,,0
img_augmentation_128_16,cpu,1650991252,1678396619,1647580704,1541259,701902,4643307,877145,7156456,48,,0
img_augmentation_128_16,dtu,0,37407462,34006307,708996,345549,723325,357731,3129282,5505504,,0
img_augmentation_128_32,cpu,3345632019,3445336096,3345581564,4159590,1425764,10146023,2150066,15565690,32,,0
img_augmentation_128_32,dtu,0,123365954,113707005,1463448,714680,2174427,1160332,6492494,11014016,,0
img_augmentation_128_64,cpu,6422670416,6627026571,6723827854,8088941,2866944,21225501,4899543,31024461,0,,0
img_augmentation_128_64,dtu,0,245700796,227084216,2920101,1426467,4313296,2310084,12955487,22021760,,0
img_augmentation_256_4,cpu,1625592321,1652727773,1646799152,1822291,702838,5052265,878795,7444979,0,,0
img_augmentation_256_4,dtu,0,38657188,34012062,708827,345373,723539,357802,3127716,5505520,,0
img_augmentation_256_8,cpu,3374841527,3474492385,3344819329,5220320,1429316,10829737,2120557,16654823,112,,0
img_augmentation_256_8,dtu,0,124973964,113725912,1464443,713422,2126736,1127243,6483589,11011088,,0
img_augmentation_256_16,cpu,6633518414,6838214039,6722733069,10642890,2880256,22478154,4764014,33684913,112,,0
img_augmentation_256_16,dtu,0,249028332,227045530,2922749,1426184,4252165,2256593,12955852,22021824,,0
img_augmentation_256_32,cpu,13388251768,13805020268,13527940641,21001610,5961646,47625739,11464090,68694740,144,,0
img_augmentation_256_32,dtu,0,496025314,453701711,5836558,2852923,8453354,4481041,25907222,44043344,,0
img_augmentation_256_64,cpu,26362374055,27211843668,27055704219,31808644,11887923,95320016,22787950,126912027,144,,0
img_augmentation_256_64,dtu,0,1005348753,907494894,11667040,5706544,17340539,9435985,51813732,88090576,,0
img_augmentation_128_4,cpu,413666796,418947985,411092262,349058,178358,1143691,207151,1775924,0,,0
img_augmentation_128_4,dtu,0,10301083,9186478,175582,86923,203110,99144,784929,1376752,,0
img_augmentation_128_8,cpu,827058742,837948260,822136984,748630,354490,2288738,414349,3584548,0,,0
img_augmentation_128_8,dtu,0,19460439,17489888,355491,175606,377887,186059,1588259,2753088,,0
img_augmentation_128_16,cpu,1613011194,1640163488,1647163390,1536694,701204,4636976,873300,7146309,0,,0
img_augmentation_128_16,dtu,0,37456392,34040803,709128,345596,724453,358393,3129803,5505520,,0
img_augmentation_128_32,cpu,3373054593,3473263445,3345530045,4156465,1425912,10145040,2151253,15563759,32,,0
img_augmentation_128_32,dtu,0,71473078,67134099,1387824,690389,1418882,703694,6222748,11010576,,0
img_augmentation_128_64,cpu,6826784148,7030583351,6737940384,8144514,2874883,21697825,5156289,31143561,96,,0
img_augmentation_128_64,dtu,0,246554307,227064121,2935640,1437306,4352326,2340408,13056535,22040544,,0
img_augmentation_256_4,cpu,1627485251,1654586190,1646831300,1828079,703271,5055151,878578,7454246,32,,0
img_augmentation_256_4,dtu,0,38729561,34047492,709189,345601,724406,358245,3129870,5505536,,0
img_augmentation_256_8,cpu,3290731610,3391179413,3344665812,5222303,1429687,10829982,2127622,16659780,176,,0
img_augmentation_256_8,dtu,0,73979759,67131548,1388291,690238,1418778,703582,6222009,11010608,,0
img_augmentation_256_16,cpu,6654977433,6859534714,6736073480,10701311,2889953,22806924,4972266,33820896,96,,0
img_augmentation_256_16,dtu,0,249658765,227065687,2923798,1426994,4262409,2263726,12963358,22021840,,0
img_augmentation_256_32,cpu,13381396442,13797984717,13526746645,20812175,5803268,47662981,11211531,67238302,144,,0
img_augmentation_256_32,dtu,0,495272041,453658491,5835803,2853284,8509256,4532922,25909395,44042960,,0
img_augmentation_256_64,cpu,26716933230,27566122568,27056397202,31828813,11886490,95450509,22787189,126920715,160,,0
img_augmentation_256_64,dtu,0,1044486777,909764126,12035098,6030183,18231283,10217924,54756077,88327728,,0
