benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,1859613,2459725,66240,46329,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2811905,3482451,2158406,183885,161839,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3077254,1287937,159544,146194,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,937331,1286869,33617,21335,33554432
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12822414,24188662,29717486,1340881,1124006,788529152
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28399976,26002013,1348749,887572,788529152
tensor_slicing_512x64x64x8_1x1x2x4,dtu,0,16235785,19001965,528578,395567,788529152
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10597421,17089242,15023838,961992,832850,385875968
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12063144,8641553,729212,704852,385875968
tensor_slicing_512x64x64x8_1x1x2x8,dtu,0,7625798,9551197,264481,197547,385875968
tensor_slicing_512x64x64x8_1x1x2x16,cpu,9534511,12572023,7677014,735789,699021,184549376
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,10395003,4447249,630785,632994,184549376
tensor_slicing_512x64x64x8_1x1x2x16,dtu,0,3928701,4825813,140056,97742,184549376
tensor_slicing_512x64x64x8_1x1x2x32,cpu,5391054,6834941,4001661,368041,328327,83886080
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,5925168,2336513,316036,294579,83886080
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,1960419,2459725,68515,46419,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,2810346,3492593,2158406,183878,161832,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,3053783,1287937,159479,146193,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,920134,1280077,33266,21217,33554432
tensor_slicing_512x64x64x8_1x1x2x4,cpu,12819201,24078156,29717486,1340615,1124125,788529152
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,28344014,26001616,1344799,887658,788529152
tensor_slicing_512x64x64x8_1x1x2x4,dtu,0,16202254,19008757,528911,395728,788529152
tensor_slicing_512x64x64x8_1x1x2x8,cpu,10633592,17154924,15038151,962643,833787,385875968
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,12069858,8641553,729425,704453,385875968
