benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_7_128,cpu,0,12291649,6464539,685498,51777,629728,38125,1099682,0,1199226824
dbcolproj_83690_7_128,col,0,10040838,9536395,76852,19970,115711,59830,236620,0,1199226824
dbcolproj_83690_7_128,dtu,0,6523981,3970673,76104,35366,106771,53228,322399,585872,1199226824
dbcolproj_83690_8_128,cpu,0,13503838,7308231,724114,59019,719454,43655,1196232,0,1370690087
dbcolproj_83690_8_128,col,0,12312658,10814088,87672,24398,133704,69244,282863,0,1370690087
dbcolproj_83690_8_128,dtu,0,7427533,4547187,87096,39939,123542,62641,364758,669600,1370690087
dbcolproj_83690_1_128,cpu,0,2239962,1422763,90241,6440,90667,5365,141743,0,171877880
dbcolproj_83690_1_128,col,0,635099,1506453,10808,3850,10565,5028,41607,0,171877880
dbcolproj_83690_1_128,dtu,0,539565,209271,10491,5882,10532,5270,52297,83728,171877880
dbcolproj_83690_2_128,cpu,0,5118744,2273247,327236,24630,180436,10981,524266,0,342387978
dbcolproj_83690_2_128,col,0,1077775,2427043,21637,4010,21190,10263,53718,0,342387978
dbcolproj_83690_2_128,dtu,0,1056227,418496,20973,9754,21047,10516,88548,167440,342387978
dbcolproj_83690_3_128,cpu,0,7139991,3110147,452204,31223,269688,16436,701977,0,514432714
dbcolproj_83690_3_128,col,0,1863167,3354425,32862,5903,32217,15649,80086,0,514432714
dbcolproj_83690_3_128,dtu,0,1591896,634513,31582,14459,31783,15844,131562,251104,514432714
dbcolproj_83690_4_128,cpu,0,8658034,3947047,525907,39174,358862,21699,839281,0,685980259
dbcolproj_83690_4_128,col,0,2921135,4276468,42761,7614,42880,20866,103674,0,685980259
dbcolproj_83690_4_128,dtu,0,2098092,836946,41940,19455,42087,20961,176655,334816,685980259
dbcolproj_83690_5_128,cpu,0,10024718,4783947,575942,43922,449545,27220,927305,0,857049531
dbcolproj_83690_5_128,col,0,4006739,5195605,53072,11153,53675,26139,142304,0,857049531
dbcolproj_83690_5_128,dtu,0,2627654,1052963,52579,24747,52817,26335,224391,418498,857049531
dbcolproj_83690_6_128,cpu,0,11216114,5627639,631728,49393,537821,32731,1026861,0,1027961808
dbcolproj_83690_6_128,col,0,8035538,8262109,66048,15697,97397,49886,191624,0,1027961808
dbcolproj_83690_6_128,dtu,0,5548514,3397771,64803,30387,89401,44150,276507,502219,1027961808
dbcolproj_83690_7_128,cpu,0,12358205,6464539,684269,56623,628486,38211,1137252,0,1199226824
dbcolproj_83690_7_128,col,0,10078719,9542870,76927,20009,116238,59624,237006,0,1199226824
dbcolproj_83690_7_128,dtu,0,6527304,3964437,75764,35370,115263,60437,322102,585936,1199226824
dbcolproj_83690_8_128,cpu,0,13500578,7308231,724800,61104,718052,43667,1213623,0,1370690087
dbcolproj_83690_8_128,col,0,12337888,10810907,88100,24723,132912,69408,285893,0,1370690087
dbcolproj_83690_8_128,dtu,0,7401973,4547166,86853,39624,119185,58753,361997,669584,1370690087
dbcolproj_83690_1_128,cpu,0,2214934,1422763,90214,6843,90636,5348,144963,0,171877880
