benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
im2col_512_512_3_5,cpu,499743161,772161476,473646515,9855139,3778032,96728317.448405
im2col_512_512_3_5,dtu,0,272285754,157215022,1605521,1355610,96728317.448405
im2col_720_1080_3_2,cpu,239115987,368676428,227799161,4548157,1878003,46556225.682564
im2col_720_1080_3_2,dtu,0,131751167,76025798,793594,643292,46556225.682564
im2col_720_1080_3_3,cpu,539048588,828294633,511354295,10356056,4156747,104510508.703681
im2col_720_1080_3_3,dtu,0,290935528,169903838,1834221,1386385,104510508.703681
im2col_720_1080_3_4,cpu,954676218,1467059018,906148198,18355349,7346442,185368372.285505
im2col_720_1080_3_4,dtu,0,514916946,300878520,3289255,2437821,185368372.285505
im2col_720_1080_3_5,cpu,1489570145,2298407603,1413139376,29230332,11491498,288966436.730617
im2col_720_1080_3_5,dtu,0,800678460,469274691,4859256,3818981,288966436.730617
im2col_512_512_3_2,cpu,50730481,94415759,63346608,892572,595842,15660739.682568
im2col_512_512_3_2,dtu,0,44542220,25586093,293137,216124,15660739.682568
im2col_512_512_3_3,cpu,113745040,210703389,141726156,1940158,1329539,35097764.368288
im2col_512_512_3_3,dtu,0,98736038,57110699,595269,501961,35097764.368288
im2col_512_512_3_4,cpu,320145099,492069486,303942615,6158015,2364705,62151040.594557
im2col_512_512_3_4,dtu,0,174437926,100949640,1227738,816840,62151040.594557
im2col_512_512_3_5,cpu,500028911,772403074,473662673,9863656,3778943,96728317.448405
im2col_512_512_3_5,dtu,0,272215553,157203277,1605324,1354556,96728317.448405
im2col_720_1080_3_2,cpu,239598037,369062366,227795554,4577989,1880130,46556225.682564
im2col_720_1080_3_2,dtu,0,131681144,76018359,793199,642638,46556225.682564
im2col_720_1080_3_3,cpu,538654740,828086300,511367247,10329423,4159702,104510508.703681
im2col_720_1080_3_3,dtu,0,291005436,169902215,1839350,1386402,104510508.703681
im2col_720_1080_3_4,cpu,955145309,1467547860,906186786,18388704,7347921,185368372.285505
im2col_720_1080_3_4,dtu,0,514855355,300869786,3288109,2436855,185368372.285505
im2col_720_1080_3_5,cpu,1488811075,2297464504,1413088599,29162908,11487373,288966436.730617
im2col_720_1080_3_5,dtu,0,800928533,469317203,4859828,3821945,288966436.730617
im2col_512_512_3_2,cpu,50724749,94411809,63346712,892566,595730,15660739.682568
im2col_512_512_3_2,dtu,0,44533657,25584568,293124,216018,15660739.682568
im2col_512_512_3_3,cpu,113727436,210623274,141718327,1939323,1329102,35097764.368288
im2col_512_512_3_3,dtu,0,98646993,57088386,594294,501171,35097764.368288
im2col_512_512_3_4,cpu,320822190,492744194,303932499,6214148,2364714,62151040.594557
im2col_512_512_3_4,dtu,0,174454752,100956604,1227548,817286,62151040.594557
im2col_512_512_3_5,cpu,499456717,772120250,473692527,9816900,3787387,96728317.448405
im2col_512_512_3_5,dtu,0,272335025,157194507,1605403,1354429,96728317.448405
im2col_720_1080_3_2,cpu,239199764,368700284,227787480,4553337,1881325,46556225.682564
im2col_720_1080_3_2,dtu,0,131779894,76023896,797199,643282,46556225.682564
im2col_720_1080_3_3,cpu,539206571,828606140,511341946,10373562,4159083,104510508.703681
