benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x32x32x32,cpu,4246356,10206603,13055818,405172,152040,350044,133151,557211,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,5929080,9640620,196138,84388,201289,66316,214987,1048624,-136314880
tensor_unfold_2_32x32x32x32,cpu,23265746,29179025,15370358,1150087,152737,1350226,135213,1302828,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,5918782,9640620,196055,84381,201247,66291,214896,1048624,-136314880
tensor_unfold_3_32x32x32x32,cpu,78779254,84727824,15464807,1151303,151533,1353543,135753,1302839,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,5941653,9647412,196367,84541,201497,66437,215368,1048640,-136314880
tensor_unfold_4_32x32x32x32,cpu,78793682,84726897,15464904,1143291,153615,1367468,136302,1296907,0,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,5928837,9640620,196020,84419,201207,66341,214898,1048656,-136314880
