benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
vol2col_k2_16x128x128,cpu,55926697,67003388,93862447,748746,415057,1287600,613514,4069204,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,13213456,15847645,137139,19766,145225,17789,174265,1936064,29022414.827467
vol2col_k3_16x128x128,cpu,172826341,205897017,290615666,2196792,1198888,3925777,1848552,11787888,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,42243560,48722896,392434,23181,421021,20100,202673,6003376,89982817.314302
vol2col_k4_16x128x128,cpu,376023249,450530865,629036265,4627557,2547285,8603461,4026185,25005821,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,91940596,105338518,837332,26106,962391,28476,230910,13044336,194920349.542969
vol2col_k2_16x128x128,cpu,55869184,66676579,93737543,747477,414867,1276832,618058,4066401,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12887721,15840853,137198,19812,142725,16724,174660,1936544,29022414.827467
vol2col_k3_16x128x128,cpu,173373811,206394583,290620194,2201140,1198844,3941126,1855010,11791892,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,42544107,48716104,392353,23124,422000,20963,202126,6003504,89982817.314302
vol2col_k4_16x128x128,cpu,375516019,450075768,629068686,4636322,2547216,8588538,3996961,25014052,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,91981308,105329095,836684,26392,962335,28341,232454,13045856,194920349.542969
vol2col_k2_16x128x128,cpu,22679746,33480038,68920131,718368,406433,879180,381112,3969826,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,12874525,15840853,137209,19695,142386,16688,173712,1936912,29022414.827467
vol2col_k3_16x128x128,cpu,172647002,205649675,290571848,2198237,1198897,3927155,1850739,11789397,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,42545128,48716104,392474,22961,422133,20917,200938,6003600,89982817.314302
vol2col_k4_16x128x128,cpu,376311138,450924145,629064487,4640268,2547431,8610306,4032768,25019708,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,92031301,105340577,836859,25628,960319,27314,226696,13043024,194920349.542969
vol2col_k2_16x128x128,cpu,22693890,33533878,68926923,719237,405857,881106,382843,3966103,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,13114804,15840853,137022,19739,141666,16208,173929,1936080,29022414.827467
vol2col_k3_16x128x128,cpu,172769635,205816482,290636075,2197733,1199185,3930445,1847946,11791214,16,89982817.314302
