benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_4_128,dtu,0,2000273,843738,42248,20129,42301,21095,182346,334812,685980259
dbcolproj_83690_5_128,cpu,0,8810085,4790739,580313,35505,449844,27340,864346,0,857049531
dbcolproj_83690_5_128,col,0,3932463,5195605,53149,15783,53661,26147,179428,0,857049531
dbcolproj_83690_5_128,dtu,0,2489310,1052963,52596,24836,52821,26321,225112,418496,857049531
dbcolproj_83690_6_128,cpu,0,9843113,5620847,635492,39750,537633,32611,953483,0,1027961808
dbcolproj_83690_6_128,col,0,7937989,8258936,67201,21955,98194,50789,242847,0,1027961808
dbcolproj_83690_6_128,dtu,0,2974439,1262188,63252,29874,63347,31560,270836,502150,1027961808
dbcolproj_83690_7_128,cpu,0,10911481,6464539,687770,43932,628540,38197,1039208,0,1199226824
dbcolproj_83690_7_128,col,0,9962927,9543108,78278,27264,117993,60851,296387,0,1199226824
dbcolproj_83690_7_128,dtu,0,6312380,3965727,77392,36038,112376,59305,329079,585904,1199251196
dbcolproj_83690_8_128,cpu,0,11971231,7301439,726092,50612,717777,43514,1130985,0,1370690087
dbcolproj_83690_8_128,col,0,12142999,10826136,89830,32855,134331,69313,352677,0,1370690087
dbcolproj_83690_8_128,dtu,0,7276004,4546990,88830,42262,131947,71155,385077,669616,1370690087
