benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x32x32x32,cpu,4679732,10454631,13055814,431214,151609,383271,133254,582826,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,5595339,9640620,196109,84354,201033,66264,214922,65540,-136314880
tensor_unfold_2_32x32x32x32,cpu,22476916,28246353,15378882,1154547,152542,1350355,135156,1307092,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,7559687,9647412,196213,84516,201746,66469,215190,1048640,-136314880
tensor_unfold_3_32x32x32x32,cpu,75480682,81259181,15465135,1156929,151282,1353286,135476,1308211,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,7546841,9647412,196324,84491,201627,66417,215274,1048656,-136314880
tensor_unfold_4_32x32x32x32,cpu,75403911,81177003,15457008,1148052,151314,1367217,136004,1299366,0,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,7542240,9647412,196337,84523,201838,66476,215320,1048624,-136314880
