benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
vol2col_k2_16x128x128,cpu,21918204,32719220,68920131,713268,406017,882836,381549,1119287,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,11197221,15842300,137145,19794,141699,16258,35931,235349,29022414.827467
vol2col_k3_16x128x128,cpu,165082643,197875468,290284886,2179996,1199153,3901043,1822178,3379151,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,33924774,48702520,392147,22964,421149,19648,39889,722651,89982817.314302
vol2col_k4_16x128x128,cpu,359277534,433078304,629044292,4590510,2547572,8683852,4051334,7138081,1,194920349.542969
vol2col_k4_16x128x128,dtu,0,76880977,105312639,836507,25696,958572,27132,46660,1598342,194920349.542969
