benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_1_32x64x64x128,dtu,0,234353945,223541167,3368955,1164459,5382186,2328745,11635903,16779600,2113929216
tensor_unfold_2_32x64x64x128,cpu,272594705,502209807,382982546,13925636,2350868,17284650,4453850,32732579,0,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,229609298,223562648,3361472,1164832,5477376,2351713,11631370,16779872,2113929216
tensor_unfold_3_32x64x64x128,cpu,753006786,982626555,383805494,21638686,2352462,25582695,3984743,40458365,0,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,237054479,223584941,3362343,1165438,5438352,2325482,11637118,16779568,2113929216
tensor_unfold_4_32x64x64x128,cpu,1633765906,1863342732,383657790,21671766,2339167,30664192,4294214,40385084,32,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,522739778,224072935,3391490,1169231,5321000,2234768,11696600,16779696,2113929216
tensor_unfold_1_8x64x64x128,cpu,53612995,101502073,85100326,1651816,545430,2264803,784116,6015240,0,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,55583907,55745221,826475,283161,1223855,528247,2829604,4194544,-545259520
tensor_unfold_2_8x64x64x128,cpu,44319344,92085995,77490477,3369137,545505,3718992,783234,7733169,0,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,53982741,55745839,826423,283237,1225248,529698,2830150,4194608,-545259520
tensor_unfold_3_8x64x64x128,cpu,179366918,227316777,77733374,5324904,545690,5910578,788240,9690417,0,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,55435596,55754330,826944,283343,1220481,526548,2831515,4194624,-545259520
tensor_unfold_4_8x64x64x128,cpu,366901961,414788271,77634254,5355052,546474,6725784,796944,9726827,16,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,124810870,55860847,833325,283912,1181365,490834,2842468,4194576,-545259520
