benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
img_augmentation_512_4,cpu,7837756922,8040386731,6762517349,6262604,2941829,22245412,5410379,9204416,176,0
img_augmentation_512_4,dtu,0,193595583,226850301,2865232,1420928,4104779,2118558,2909829,22021216,0
img_augmentation_512_16,cpu,31022037060,31833165607,27049179463,24990618,11701879,88691727,21398543,36692448,720,0
img_augmentation_512_16,dtu,0,815168959,914421318,11454063,5668913,18480097,10133173,11617594,88086000,0
img_augmentation_512_32,cpu,63475482161,65101023684,54099921670,50005721,23417882,178085190,43202499,73423518,1280,0
img_augmentation_512_32,dtu,0,1629357416,1828421082,22914431,11329673,36870593,20261822,23233401,176171136,0

