benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
dbcolproj_83690_8_128,cpu,0,11965098,6639429,761653,715128,1370690087
dbcolproj_83690_8_128,dtu,0,4896773,2393884,142792,85636,1370690087
dbcolproj_83690_1_128,cpu,0,2251097,1543256,103099,91383,171877880
dbcolproj_83690_1_128,dtu,0,929565,573252,23361,11146,171877880
dbcolproj_83690_2_128,cpu,0,4478312,2099064,191123,321888,342387978
dbcolproj_83690_2_128,dtu,0,1812373,1127794,45661,22000,342387978
dbcolproj_83690_3_128,cpu,0,6231632,2860329,287303,447237,514432714
dbcolproj_83690_3_128,dtu,0,2756330,1700197,69266,33411,514432714
dbcolproj_83690_4_128,cpu,0,7562370,3612276,382112,533090,685980259
dbcolproj_83690_4_128,dtu,0,2417827,1189145,70380,43232,685980259
dbcolproj_83690_5_128,cpu,0,11184925,6144204,558147,588605,857049531
dbcolproj_83690_5_128,dtu,0,4598541,2843373,123220,55081,857049531
dbcolproj_83690_6_128,cpu,0,9842391,5126590,571885,631850,1027961808
dbcolproj_83690_6_128,dtu,0,3811433,1971412,109308,64543,1027961808
dbcolproj_83690_7_128,cpu,0,10903540,5878698,668081,678347,1199226824
dbcolproj_83690_7_128,dtu,0,4308496,2166013,130054,75210,1199226824
dbcolproj_83690_8_128,cpu,0,11939832,6631908,762887,714675,1370690087
dbcolproj_83690_8_128,dtu,0,4785666,2371515,144743,85817,1370690087
dbcolproj_83690_1_128,cpu,0,1903205,1339062,96018,90244,171877880
dbcolproj_83690_1_128,dtu,0,510647,209260,15800,10498,171877880
dbcolproj_83690_2_128,cpu,0,4471871,2099064,191030,321676,342387978
dbcolproj_83690_2_128,dtu,0,990154,418485,31527,20985,342416372
dbcolproj_83690_3_128,cpu,0,6177405,2852274,285834,445604,514432714
dbcolproj_83690_3_128,dtu,0,2605525,1556471,72966,33231,514432714
dbcolproj_83690_4_128,cpu,0,7525911,3612276,380773,532363,685980259
dbcolproj_83690_4_128,dtu,0,2425628,1185655,73137,43311,685980259
dbcolproj_83690_5_128,cpu,0,9201900,4736830,493183,582869,857049531
dbcolproj_83690_5_128,dtu,0,4607685,2831799,121016,55362,857049531
dbcolproj_83690_6_128,cpu,0,9824401,5127016,571961,631736,1027961808
dbcolproj_83690_6_128,dtu,0,3821705,1971571,109550,64828,1027961808
dbcolproj_83690_7_128,cpu,0,10906487,5878698,668083,678430,1199226824
dbcolproj_83690_7_128,dtu,0,4309557,2184265,130617,75044,1199226824
dbcolproj_83690_8_128,cpu,0,11966865,6631908,762762,714841,1370690087
dbcolproj_83690_8_128,dtu,0,4790647,2389700,144485,85548,1370690087
dbcolproj_83690_1_128,cpu,0,1895232,1345854,96387,90517,171877880
dbcolproj_83690_1_128,dtu,0,530988,209260,15789,10546,171877880
dbcolproj_83690_2_128,cpu,0,4473291,2099064,191092,322058,342387978
dbcolproj_83690_2_128,dtu,0,1011078,425277,31915,21228,342387978
dbcolproj_83690_3_128,cpu,0,6237481,2861063,287422,446166,514432714
dbcolproj_83690_3_128,dtu,0,2589687,1568174,72806,32867,514432714
dbcolproj_83690_4_128,cpu,0,7547875,3612276,382130,532101,685980259
dbcolproj_83690_4_128,dtu,0,2395315,1178744,72053,42839,685980259
dbcolproj_83690_5_128,cpu,0,9204074,4718823,493216,583460,857049531
dbcolproj_83690_5_128,dtu,0,4581886,2824765,122947,55109,857049531
dbcolproj_83690_6_128,cpu,0,9833249,5118696,571572,631422,1027961808
dbcolproj_83690_6_128,dtu,0,3805689,1953088,109300,64542,1027961808
dbcolproj_83690_7_128,cpu,0,10909800,5878698,668208,678462,1199226824
dbcolproj_83690_7_128,dtu,0,4300552,2165974,131319,75205,1199226824
dbcolproj_83690_8_128,cpu,0,11934560,6631908,762669,714842,1370690087
dbcolproj_83690_8_128,dtu,0,4795704,2389685,145210,85777,1370690087
dbcolproj_83690_1_128,cpu,0,1903930,1345854,96380,90531,171877880
dbcolproj_83690_1_128,dtu,0,525736,216052,16116,10665,171877880
dbcolproj_83690_2_128,cpu,0,4495675,2099064,192499,322535,342387978
dbcolproj_83690_2_128,dtu,0,992066,418485,31576,20976,342387978
dbcolproj_83690_3_128,cpu,0,6172518,2852274,285853,445707,514432714
dbcolproj_83690_3_128,dtu,0,2611692,1556342,73812,33283,514432714
dbcolproj_83690_4_128,cpu,0,7536231,3612276,380655,532071,685980259
dbcolproj_83690_4_128,dtu,0,2433048,1204359,73252,43238,685980259
dbcolproj_83690_5_128,cpu,0,9207958,4727304,492425,584461,857049531
dbcolproj_83690_5_128,dtu,0,4600280,2843292,122381,55373,857049531
dbcolproj_83690_6_128,cpu,0,9829703,5125488,571936,631577,1027961808
dbcolproj_83690_6_128,dtu,0,3820084,1971375,109492,64741,1027961808
dbcolproj_83690_7_128,cpu,0,10871119,5871906,666315,678072,1199226824
dbcolproj_83690_7_128,dtu,0,4284658,2166013,130669,74869,1199226824
dbcolproj_83690_8_128,cpu,0,11917705,6631908,761424,714840,1370690087
dbcolproj_83690_8_128,dtu,0,4769691,2371292,143586,85473,1370690087

