benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
img_augmentation_128_4,dtu,0,11618507,9231607,175856,92519,202109,98939,829821,1379136,0
img_augmentation_128_8,cpu,831630073,842758207,822118307,662723,359569,2440017,413561,3539275,0,0
img_augmentation_128_8,dtu,0,20815469,17466426,354564,182457,375003,184638,1642154,2752800,0
img_augmentation_128_16,cpu,1610022632,1637696994,1647135388,1455622,704550,4853591,871153,7092012,0,0
img_augmentation_128_16,dtu,0,39800624,34021158,707127,351313,722315,357362,3173533,5505440,0
img_augmentation_128_32,cpu,3262250120,3365211603,3345325786,3454559,1420181,10533452,2137698,14815996,32,0
img_augmentation_128_32,dtu,0,76248514,67156991,1388603,695965,1417799,703107,6268183,11010528,0
img_augmentation_128_64,cpu,6567551730,6777082572,6737442577,6848603,2846122,22703639,5119255,29617560,16,0
img_augmentation_128_64,dtu,0,255837018,227075287,2868352,1421780,4327012,2285866,12866249,22021536,0
img_augmentation_256_4,cpu,1659296085,1686956057,1646878097,1589513,705509,5297743,879702,7233581,48,0
img_augmentation_256_4,dtu,0,40794978,34040927,707613,351443,722759,357550,3175051,5505424,0
img_augmentation_256_8,cpu,3449189863,3551881119,3344973018,4072121,1423185,11578853,2122820,15457601,16,0
img_augmentation_256_8,dtu,0,78614012,67148946,1386783,696085,1417697,703108,6267301,11010464,0
img_augmentation_256_16,cpu,6597879999,6807480502,6735974033,8116088,2852109,24089647,4944505,30930246,43168,0
img_augmentation_256_16,dtu,0,257968784,227056990,2870166,1421868,4277534,2230446,12868782,22021280,0
img_augmentation_256_32,cpu,13456197701,13881054141,13526874057,16007055,5713897,50026188,11205176,61713007,83376,0
img_augmentation_256_32,dtu,0,513986181,453746338,5732983,2837814,8556746,4478676,25682872,44041712,0
img_augmentation_256_64,cpu,26396766685,27272671983,27055843950,26739650,11709209,100886789,22730741,120404081,147728,0
img_augmentation_256_64,dtu,0,1045939472,909813652,11467358,5670470,17920132,9573848,51325704,88086480,0
img_augmentation_128_4,cpu,415762659,421073323,411105931,279593,180260,1216277,207701,1721665,0,0
img_augmentation_128_4,dtu,0,11579034,9226312,175771,92425,201982,98593,828979,1379072,0
img_augmentation_128_8,cpu,806896478,818037807,822078905,662852,359962,2370549,412170,3542540,0,0
img_augmentation_128_8,dtu,0,20835944,17484709,354572,182645,375402,184845,1643662,2752896,0
img_augmentation_128_16,cpu,1612584988,1640269043,1647142860,1455944,704734,4855734,869469,7093805,16,0
img_augmentation_128_16,dtu,0,39875905,34051527,708450,351628,722988,357617,3177372,5505504,0
img_augmentation_128_32,cpu,3260772355,3364206179,3345312690,3454649,1420226,10676711,2145624,14816455,32,0
img_augmentation_128_32,dtu,0,77825285,67121440,1387078,695662,1416823,702613,6264209,11010496,0
img_augmentation_128_64,cpu,6569762466,6779345303,6737438788,6846100,2845413,22702335,5114576,29609392,32,0
img_augmentation_128_64,dtu,0,255876206,227062953,2880679,1430479,4332857,2292921,12947296,22035488,0
img_augmentation_256_4,cpu,1613273757,1640948381,1646783946,1581476,705491,5271796,877367,7225403,32,0
img_augmentation_256_4,dtu,0,40741181,34047943,706757,351324,723311,357832,3173253,5505408,0
img_augmentation_256_8,cpu,3364559554,3467539704,3344788954,4074747,1422383,11313720,2118503,15453481,5280,0
img_augmentation_256_8,dtu,0,79593075,67117088,1387103,695344,1416742,702803,6261706,11010416,0
img_augmentation_256_16,cpu,6597786643,6807540105,6736018013,8118863,2851685,24082807,4937033,30928842,55872,0
img_augmentation_256_16,dtu,0,258930511,227046648,2880287,1430096,4295983,2253727,12943735,22036848,0
img_augmentation_256_32,cpu,13268042755,13693465746,13526577459,16004007,5713369,50251899,11193182,61704812,98336,0
img_augmentation_256_32,dtu,0,516538605,453714934,5755886,2855621,8659231,4526440,25846121,44075632,0
img_augmentation_256_64,cpu,27124356674,28000914105,27057109540,26753114,11708188,100835886,22751098,120404838,220320,0
img_augmentation_256_64,dtu,0,1045343316,909780301,11463695,5670021,17926600,9566868,51318513,88085456,0
img_augmentation_128_4,cpu,417419567,422785542,411087470,277810,180007,1192780,208641,1717876,0,0
img_augmentation_128_4,dtu,0,11741925,9230728,176125,92684,201981,98585,831376,1379280,0
img_augmentation_128_8,cpu,806964415,818082881,822091519,663501,359795,2357373,412777,3541860,16,0
img_augmentation_128_8,dtu,0,20940682,17509851,355187,182694,376153,185182,1644663,2752960,0
img_augmentation_128_16,cpu,1655072812,1682687358,1647220064,1462719,704526,4877704,870619,7098918,16,0
img_augmentation_128_16,dtu,0,39831835,34049036,707014,351207,723281,357768,3172580,5505440,0
img_augmentation_128_32,cpu,3260239859,3363290910,3345283091,3458940,1420543,10503456,2138393,14823275,32,0
img_augmentation_128_32,dtu,0,76606861,67141369,1387280,696455,1417298,702703,6270776,11010496,0
img_augmentation_128_64,cpu,6566050310,6776151510,6737450856,6849768,2845331,22782948,5098861,29612410,96,0
img_augmentation_128_64,dtu,0,255935850,227031793,2870953,1422173,4319886,2280081,12872024,22021104,0
img_augmentation_256_4,cpu,1614630788,1642261785,1646794846,1585629,705734,5297382,876595,7231493,48,0
img_augmentation_256_4,dtu,0,40894666,34075389,708006,351462,723764,357977,3175608,5505440,0
img_augmentation_256_8,cpu,3274128235,3377396415,3344641290,4071345,1422979,11268652,2121208,15454671,8128,0
img_augmentation_256_8,dtu,0,78441338,67149784,1387218,696467,1417270,702940,6270785,11010432,0
img_augmentation_256_16,cpu,6779217589,6988548898,6736296915,8126749,2851423,24062189,4943694,30934978,50176,0
img_augmentation_256_16,dtu,0,258212430,227072084,2871226,1422648,4278774,2242376,12876077,22021328,0
img_augmentation_256_32,cpu,13268466172,13693347458,13526542794,16026991,5713267,50065288,11195878,61728454,74768,0
img_augmentation_256_32,dtu,0,513718204,453696276,5732513,2837894,8532885,4475873,25683071,44041520,0
img_augmentation_256_64,cpu,26419787025,27294910210,27055873825,26748849,11709301,101135432,22729327,120412768,167856,0
img_augmentation_256_64,dtu,0,1044583361,909795645,11463203,5669847,17887665,9551181,51316613,88085872,0
img_augmentation_128_4,cpu,416250458,421580840,411082973,277637,180380,1250965,208706,1720686,0,0
img_augmentation_128_4,dtu,0,11066436,9210556,174630,92390,202088,98685,827700,1376672,0
img_augmentation_128_8,cpu,809502287,820579320,822097919,663968,359629,2371035,413773,3541001,0,0
img_augmentation_128_8,dtu,0,20825377,17479771,354409,182316,375430,184655,1640882,2752896,0
img_augmentation_128_16,cpu,1659747691,1687441553,1647233756,1460973,704602,4806039,873463,7097779,16,0
img_augmentation_128_16,dtu,0,39810783,34053800,707047,349884,723123,357671,3162034,5505360,0
img_augmentation_128_32,cpu,3257921470,3361039871,3345306896,3457427,1420714,10501853,2139871,14823119,64,0
img_augmentation_128_32,dtu,0,77694808,67127078,1387316,695233,1416893,702695,6261018,11010464,0
img_augmentation_128_64,cpu,6624323227,6834619644,6737521328,6853570,2845679,22720307,5101516,29618987,112,0
img_augmentation_128_64,dtu,0,255853581,227064315,2873506,1424478,4317744,2283596,12892657,22026640,0
img_augmentation_256_4,cpu,1616358503,1644054237,1646793895,1582132,705516,5237444,877625,7226250,16,0
img_augmentation_256_4,dtu,0,40855637,34064488,707678,351599,723299,357732,3176389,5505440,0
img_augmentation_256_8,cpu,3372159811,3475490662,3344796943,4073128,1422451,11443510,2121097,15451218,24128,0
img_augmentation_256_8,dtu,0,80053669,67131909,1387616,695492,1417392,702810,6263407,11010464,0
img_augmentation_256_16,cpu,6601545673,6811088254,6736032309,8121818,2851737,24137180,4949169,30932229,55488,0
img_augmentation_256_16,dtu,0,258896951,227050401,2881359,1430109,4293591,2258341,12944850,22037968,0
img_augmentation_256_32,cpu,13271108088,13695437120,13526531393,16000453,5713395,50302752,11201560,61702383,83536,0
img_augmentation_256_32,dtu,0,514732542,453740885,5755498,2855922,8532642,4490816,25848171,44075168,0
img_augmentation_256_64,cpu,26398243803,27273732524,27055826214,26742500,11708144,100710552,22720978,120392339,244752,0
img_augmentation_256_64,dtu,0,1041553243,909788018,11462281,5669829,17908766,9561265,51315568,88085664,0
img_augmentation_128_4,cpu,416084972,421315945,411084599,278399,181764,1210178,206296,1732512,0,0
img_augmentation_128_4,dtu,0,11081436,9211606,175645,95263,202313,98761,851709,1376656,0
img_augmentation_128_8,cpu,832854664,844115517,822154836,664307,359825,2447569,414604,3542907,16,0
img_augmentation_128_8,dtu,0,20837636,17476858,354633,182264,375038,184585,1640683,2752880,0
img_augmentation_128_16,cpu,1614968523,1642678066,1647159131,1456135,704535,4791149,875314,7092395,32,0
img_augmentation_128_16,dtu,0,39719331,34021173,707083,351058,722261,357296,3171468,5505408,0
img_augmentation_128_32,cpu,3259147565,3362306806,3345253723,3454057,1419963,10557718,2141656,14813751,48,0
img_augmentation_128_32,dtu,0,76627577,67120788,1387527,696093,1416731,702657,6268107,11010496,0
img_augmentation_128_64,cpu,6770217857,6980268424,6737802055,6850223,2845842,22969838,5098431,29616952,128,0
img_augmentation_128_64,dtu,0,255595418,227043259,2870125,1421983,4317938,2277091,12869672,22020976,0
img_augmentation_256_4,cpu,1617164138,1644775737,1646813576,1586188,705735,5192253,876760,7232060,16,0
img_augmentation_256_4,dtu,0,40822734,34065794,707216,351318,723231,357654,3173661,5505456,0
img_augmentation_256_8,cpu,3305944254,3409101984,3344666336,4072039,1422839,11251240,2109631,15454731,48,0
img_augmentation_256_8,dtu,0,78590319,67149083,1387531,696294,1417795,703066,6269736,11010480,0
img_augmentation_256_16,cpu,6601199915,6810994677,6735939654,8116087,2851247,24170500,4950557,30921749,68608,0
img_augmentation_256_16,dtu,0,258936175,227042788,2871997,1422060,4314060,2243252,12872149,22021120,0
