benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,20288493,2362451,327571,295252,83886080
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,4977497,2472817,66936,47267,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,8827850,11409937,2171252,185567,162132,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,10050722,1294237,160960,146241,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,2550326,1280077,33239,21205,33554432
tensor_slicing_512x64x64x8_1x1x2x4,cpu,25104010,63498109,29783481,1353656,1139424,788529152
tensor_slicing_512x64x64x8_1x1x2x4,inplace,0,68837832,26080247,1642349,901544,788529152
tensor_slicing_512x64x64x8_1x1x2x4,dtu,0,38282386,19033711,532020,397469,788529152
tensor_slicing_512x64x64x8_1x1x2x8,cpu,18004068,36507989,15066916,935225,857897,385875968
tensor_slicing_512x64x64x8_1x1x2x8,inplace,0,27915953,8668603,767009,725624,385875968
tensor_slicing_512x64x64x8_1x1x2x8,dtu,0,18375380,9570343,266371,198795,385875968
tensor_slicing_512x64x64x8_1x1x2x16,cpu,14482576,23835808,7695923,733685,724735,184549376
tensor_slicing_512x64x64x8_1x1x2x16,inplace,0,19492482,4461207,650231,658889,184549376
tensor_slicing_512x64x64x8_1x1x2x16,dtu,0,9276763,4832113,133122,98303,184549376
tensor_slicing_512x64x64x8_1x1x2x32,cpu,16994125,21748491,4025898,368918,329021,83886080
tensor_slicing_512x64x64x8_1x1x2x32,inplace,0,20332055,2368997,327933,295689,83886080
tensor_slicing_512x64x64x8_1x1x2x32,dtu,0,4949682,2466271,66683,46919,83886080
tensor_slicing_512x64x64x8_1x1x2x64,cpu,8826745,11379650,2171252,185591,162155,33554432
tensor_slicing_512x64x64x8_1x1x2x64,inplace,0,10484279,1294237,164794,146269,33554432
tensor_slicing_512x64x64x8_1x1x2x64,dtu,0,2550140,1280077,33221,21212,33554432
