benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
im2col_720_1080_3_2,cpu,93079779,144176074,227406761,3537436,1871943,46556225.682564
im2col_720_1080_3_2,dtu,0,62471613,75908516,710371,636846,46556225.682564
im2col_720_1080_3_3,cpu,209268021,323866787,510511319,7822634,4134291,104510508.703681
im2col_720_1080_3_3,dtu,0,134499490,169637521,1547764,1370558,104510508.703681
im2col_720_1080_3_4,cpu,369931877,569784586,904675636,13725678,7303112,185368372.285505
im2col_720_1080_3_4,dtu,0,236204672,300427824,2601506,2402618,185368372.285505
im2col_720_1080_3_5,cpu,580480533,893416345,1410773473,21984865,11419832,288966436.730617
im2col_720_1080_3_5,dtu,0,367508351,468593277,4079403,3769518,288966436.730617
im2col_512_512_3_2,cpu,13460038,30653960,63242315,862123,588575,15660739.682568
im2col_512_512_3_2,dtu,0,22205994,25557261,269171,214791,15660739.682568
im2col_512_512_3_3,cpu,30089171,68743858,141485225,1893033,1312771,35097764.368288
im2col_512_512_3_3,dtu,0,49732953,57011181,565774,488074,35097764.368288
im2col_512_512_3_4,cpu,124044832,193266283,303449682,4741956,2352495,62151040.594557
im2col_512_512_3_4,dtu,0,91221253,100808479,1046334,806645,62151040.594557
im2col_512_512_3_5,cpu,193434560,300359099,472884424,7313659,3751324,96728317.448405
im2col_512_512_3_5,dtu,0,127912322,156965481,1347611,1330406,96728317.448405
im2col_720_1080_3_2,cpu,93331509,144446615,227431430,3554499,1872115,46556225.682564
im2col_720_1080_3_2,dtu,0,62447751,75908553,710603,637024,46556225.682564
im2col_720_1080_3_3,cpu,208820553,323462468,510530035,7797388,4134002,104510508.703681
im2col_720_1080_3_3,dtu,0,134518618,169643189,1547712,1370679,104510508.703681
im2col_720_1080_3_4,cpu,370792828,570690169,904697695,13735544,7317372,185368372.285505
im2col_720_1080_3_4,dtu,0,236176964,300420166,2600950,2402329,185368372.285505
im2col_720_1080_3_5,cpu,580617091,893335603,1410748617,21997228,11420054,288966436.730617
im2col_720_1080_3_5,dtu,0,367528877,468584103,4079650,3769126,288966436.730617
im2col_512_512_3_2,cpu,13463200,30658854,63243937,861990,588746,15660739.682568
im2col_512_512_3_2,dtu,0,22174930,25546522,268838,214233,15660739.682568
im2col_512_512_3_3,cpu,30093556,68781677,141500905,1892647,1314129,35097764.368288
im2col_512_512_3_3,dtu,0,49763962,57012779,565156,488142,35097764.368288
