benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
vol2col_k2_16x128x128,cpu,53922294,65165213,94046540,743164,414580,1267791,610792,1157746,0,29022414.827467
vol2col_k2_16x128x128,dtu,0,11294395,15836170,137194,20072,145330,17537,36256,1936144,29022414.827467
vol2col_k3_16x128x128,cpu,168089702,200772543,290632065,2177535,1198971,3923544,1862247,3376505,0,89982817.314302
vol2col_k3_16x128x128,dtu,0,38262566,48710856,392751,23534,421085,19988,40790,6007904,89982817.314302
vol2col_k4_16x128x128,cpu,364502659,438554920,629065967,4590708,2547636,8502577,3987894,7138344,0,194920349.542969
vol2col_k4_16x128x128,dtu,0,77810126,105310010,836404,25794,960894,29201,46659,13048608,194920349.542969
