benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
tensor_unfold_4_32x32x32x32,cpu,93341288,99977037,15492197,1148346,152759,1377643,136415,2370419,16,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9818944,9647412,195319,84069,199258,66163,802332,1048624,-136314880
tensor_unfold_1_32x32x32x32,cpu,4977990,11671303,13045146,394334,151403,359472,133280,1605543,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,9979930,9647412,195299,84381,199300,66140,804801,1048624,-136314880
tensor_unfold_2_32x32x32x32,cpu,23236238,29889820,15375087,1145897,151982,1359831,135010,2361749,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,9972333,9647412,195349,84217,199316,66136,803528,1048656,-136314880
tensor_unfold_3_32x32x32x32,cpu,81811259,88440668,15488532,1149507,152738,1363590,136002,2371421,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9809099,9647412,195355,84280,199310,66171,804049,1048608,-136314880
tensor_unfold_4_32x32x32x32,cpu,93241259,99891724,15483427,1147105,152205,1378132,136398,2364755,0,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9802089,9647412,195318,84348,199237,66169,804572,1048608,-136314880
tensor_unfold_1_32x32x32x32,cpu,5018671,11718790,13053923,395998,151375,359692,133374,1606992,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,10001415,9654204,195676,84493,199484,66262,806066,1048608,-136314880
tensor_unfold_2_32x32x32x32,cpu,23218959,29857390,15375090,1144388,152180,1359896,135061,2361825,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,10002546,9654204,195723,84423,199459,66286,805545,1048592,-136314880
tensor_unfold_3_32x32x32x32,cpu,81768581,88426812,15488544,1148992,153023,1363226,136085,2373178,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9815966,9647412,195388,84244,199302,66157,803792,1048640,-136314880
tensor_unfold_4_32x32x32x32,cpu,93340369,99982306,15499843,1148640,152319,1378357,136453,2367183,16,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9838658,9654204,195709,84376,199531,66279,805170,1048608,-136314880
tensor_unfold_1_32x32x32x32,cpu,5047075,11729404,13053945,395455,151795,359632,133364,1609807,0,-136314880
tensor_unfold_1_32x32x32x32,dtu,0,9992268,9647412,195271,84211,199313,66138,803413,1048608,-136314880
tensor_unfold_2_32x32x32x32,cpu,23177385,29818263,15359897,1143436,151430,1359891,134856,2354869,0,-136314880
tensor_unfold_2_32x32x32x32,dtu,0,9980653,9647412,195228,84325,199286,66135,804288,1048608,-136314880
tensor_unfold_3_32x32x32x32,cpu,81676274,88321923,15470811,1147373,151991,1362871,135850,2363311,0,-136314880
tensor_unfold_3_32x32x32x32,dtu,0,9847936,9654204,195696,84424,199528,66257,805535,1048608,-136314880
tensor_unfold_4_32x32x32x32,cpu,93261986,99911500,15492234,1147245,152808,1378183,136527,2369717,16,-136314880
tensor_unfold_4_32x32x32x32,dtu,0,9812382,9647412,195345,84196,199245,66138,803367,1048608,-136314880
