benchmark,type,transform_cost,cycle,instret,LLCAccessCount,LLCMissCount,hash
tensor_unfold_3_32x64x64x128,cpu,1414092310,1930749958,385396066,33533882,21656887,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508560079,224149367,10693694,3373539,2113929216
tensor_unfold_4_32x64x64x128,cpu,2107821062,2624120067,384826983,47514688,21682704,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605486027,224325353,10555002,3382216,2113929216
tensor_unfold_1_8x64x64x128,cpu,157913814,283862238,103300545,5221955,2989124,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,119710342,55847358,2535077,826768,-545259520
tensor_unfold_2_8x64x64x128,cpu,117288009,243172712,95620473,6542159,3461320,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,119695621,55855397,2538300,827014,-545259520
tensor_unfold_3_8x64x64x128,cpu,349570571,475373384,96037698,8462366,5362523,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,120966624,55858726,2540924,846114,-545259520
tensor_unfold_4_8x64x64x128,cpu,531072197,657280911,95916861,11951000,5378373,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,149104261,55902787,2495010,846249,-545259520
tensor_unfold_1_32x64x64x128,cpu,359461123,875199499,350324730,18295068,8418323,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,507676590,224151760,10661413,3373947,2113929216
tensor_unfold_2_32x64x64x128,cpu,469702636,986401800,383743995,25985420,14281247,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508542033,224155519,10702673,3375027,2113929216
tensor_unfold_3_32x64x64x128,cpu,1414923793,1930616031,385354072,33509549,21650909,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508731230,224161326,10699825,3373516,2113929216
tensor_unfold_4_32x64x64x128,cpu,2108833803,2625145713,384835737,47513676,21683083,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605183965,224325710,10553152,3381489,2113929216
tensor_unfold_1_8x64x64x128,cpu,157798336,283721016,103293274,5215881,2988649,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,120934046,55847727,2539383,845321,-545259520
tensor_unfold_2_8x64x64x128,cpu,117400086,243489237,95618448,6554623,3461669,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,120687245,55865742,2532394,846194,-545259520
tensor_unfold_3_8x64x64x128,cpu,349464437,475540562,96038300,8466135,5362763,-545259520
tensor_unfold_3_8x64x64x128,dtu,0,120893033,55855207,2537535,844790,-545259520
tensor_unfold_4_8x64x64x128,cpu,531046502,657003627,95923325,11938496,5378780,-545259520
tensor_unfold_4_8x64x64x128,dtu,0,149357333,55925681,2486426,847432,-545259520
tensor_unfold_1_32x64x64x128,cpu,359640550,875173982,350311652,18291794,8420517,2113929216
tensor_unfold_1_32x64x64x128,dtu,0,507595314,224131460,10652752,3372848,2113929216
tensor_unfold_2_32x64x64x128,cpu,469478409,985810305,383762605,25937011,14279617,2113929216
tensor_unfold_2_32x64x64x128,dtu,0,508404373,224144563,10696324,3373439,2113929216
tensor_unfold_3_32x64x64x128,cpu,1415163140,1930799675,385348079,33506558,21650645,2113929216
tensor_unfold_3_32x64x64x128,dtu,0,508679869,224159414,10690776,3374400,2113929216
tensor_unfold_4_32x64x64x128,cpu,2106823374,2622977597,384827297,47509720,21683355,2113929216
tensor_unfold_4_32x64x64x128,dtu,0,605188181,224311370,10541062,3380840,2113929216
tensor_unfold_1_8x64x64x128,cpu,158161240,284150391,103318610,5228693,2990938,-545259520
tensor_unfold_1_8x64x64x128,dtu,0,120773664,55853429,2535022,845006,-545259520
tensor_unfold_2_8x64x64x128,cpu,117351511,243408450,95618288,6553561,3460970,-545259520
tensor_unfold_2_8x64x64x128,dtu,0,120718591,55867006,2535701,845295,-545259520
tensor_unfold_3_8x64x64x128,cpu,349539811,475591377,96010452,8472341,5362633,-545259520
