benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
im2col_720_1080_3_2,dtu,0,70544822,80452928,647331,57388,791270,137547,524113,9317024,46556225.682564
im2col_720_1080_3_3,cpu,220377630,336983609,510658321,4130909,1424512,5507813,2177554,15527005,16,104510508.703681
im2col_720_1080_3_3,dtu,0,145557688,169663224,1367708,59676,1475692,77634,538463,20906304,104510508.703681
im2col_720_1080_3_4,cpu,390721511,590566969,904669572,7285491,2465980,9679744,3806286,27013333,0,185368372.285505
im2col_720_1080_3_4,dtu,0,240558216,300437134,2391015,63436,2532112,87833,579294,37107216,185368372.285505
im2col_720_1080_3_5,cpu,608776002,922518170,1410775867,11380118,3846465,15349390,5972854,42151839,16,288966436.730617
im2col_720_1080_3_5,dtu,0,373804327,468608962,3753653,112260,3899494,151534,1033953,57884384,288966436.730617
im2col_512_512_3_2,cpu,14004597,31674071,63242326,582882,238872,647485,214469,2493861,0,15660739.682568
im2col_512_512_3_2,dtu,0,22641307,25553325,213749,22158,250947,17710,195114,3134384,15660739.682568
im2col_512_512_3_3,cpu,31709190,73517347,141499205,1298263,479058,1432993,459503,5130729,0,35097764.368288
im2col_512_512_3_3,dtu,0,53327884,57017984,468429,24048,546104,19045,212391,7174752,35097764.368288
im2col_512_512_3_4,cpu,131373842,201051950,303581649,2269716,839004,3382934,1293474,8981750,0,62151040.594557
im2col_512_512_3_4,dtu,0,93122542,100815594,802259,26025,998077,48509,232337,12449824,62151040.594557
im2col_512_512_3_5,cpu,205147632,310955451,473086684,3550338,1300748,5217046,1996370,13956323,0,96728317.448405
im2col_512_512_3_5,dtu,0,125257243,156966346,1259476,42093,1307630,65647,381847,19429840,96728317.448405
im2col_720_1080_3_2,cpu,41536364,93477745,187782144,1828015,661916,1828429,638632,7123347,0,46556225.682564
im2col_720_1080_3_2,dtu,0,64662517,75908520,635742,55556,658424,58482,497908,9316544,46556225.682564
im2col_720_1080_3_3,cpu,220595731,337116371,510423170,4129681,1424072,5516318,2180799,15522258,0,104510508.703681
im2col_720_1080_3_3,dtu,0,145601836,169671777,1368191,59747,1475795,77884,539541,20906048,104510508.703681
im2col_720_1080_3_4,cpu,391721793,591610280,904691628,7280277,2466139,9669656,3795679,27009391,0,185368372.285505
im2col_720_1080_3_4,dtu,0,240576356,300434216,2390416,63501,2531881,87443,579261,37106640,185368372.285505
im2col_720_1080_3_5,cpu,609383502,922982716,1410817312,11370224,3846276,15363460,5973740,42140433,16,288966436.730617
im2col_720_1080_3_5,dtu,0,373714267,468599508,3752997,112173,3898909,151216,1032711,57882736,288966436.730617
im2col_512_512_3_2,cpu,14013662,31688492,63242326,582645,238788,647980,214519,2492951,0,15660739.682568
im2col_512_512_3_2,dtu,0,22651554,25561437,214522,22259,251247,17827,196702,3134288,15660739.682568
im2col_512_512_3_3,cpu,31698328,73491440,141491848,1298017,478800,1433321,459480,5128419,0,35097764.368288
